Rok,Przychody ze sprzedaży,Zysk ze sprzedaży,Zysk operacyjny (EBIT),Zysk z działalności gospodarczej,Zysk przed opodatkowaniem,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej,Aktywa trwałe,Aktywa obrotowe,Kapitał własny akcjonariuszy jednostki dominującej,Udziały niekontrolujące,Zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Przepływy pieniężne z działalności operacyjnej,Przepływy pieniężne z działalności inwestycyjnej,Przepływy pieniężne z działalności finansowej,Przepływy pieniężne razem
2004(gru04),30680458,3104170,2686529,3138445,3138445,2537596,2482227,12947815,7921660,13191608,439706,3237711,4000450,3636845,-2700144,-837677,99024
2005(gru05),41188267,3678796,4947620,5273070,5273070,4637776,4578456,20885532,12518779,16671837,2641152,5553853,8537469,3663889,-2503176,-764433,396280
2006(gru06),52867189,3183293,2576607,2729347,2729347,2060198,1985966,27660798,17758286,18850940,2731623,8958143,14878378,3693189,-6746198,4277568,1224559
2007(gru07),63792983,2853718,2603882,3011065,3011065,2480426,2412409,26736337,19366488,19935335,2637425,11091402,12438663,1965066,-2845108,27039,-853003
2008(gru08),79535205,747705,-1603322,-2915403,-2915403,-2526626,-2505242,29280856,17694894,17813091,2718556,4634178,21809925,3616760,-4384957,612573,-155624
2009(gru09),67927990,1072307,1097076,1440652,1440652,1300167,1308521,29655024,19433046,19037903,2669308,13223343,14157516,5161793,-2539997,-1021584,1600212
2010(gru10),83547432,3220664,3122649,3070167,3070167,2455467,2371358,30430874,20718918,21627938,2612015,10667861,16241978,6110199,-2920060,-3297740,-107601
2011(gru11),106973074,3446709,2066472,2791741,2791741,2015003,2363397,28599141,30132337,24533773,2264910,12120002,19812793,761106,1497021,332376,2590503
2012(gru12),120101550,2612268,2024371,2624443,2624443,2169990,2344594,26810637,25820143,26479187,1827646,9196658,15127289,3089185,-2874856,-3411473,-3197144
2013(gru13),113853000,473000,333000,178000,178000,90000,176000,26907000,24445000,25948000,1603000,7846000,15955000,5671000,-2479000,-2509000,683000
2014(gru14),106832000,390000,-4711000,-6246000,-6246000,-5828000,-5811000,24971000,21754000,18771000,1615000,12305000,14034000,3187000,-4020000,2083000,1250000
2015(gru15),88336000,5021000,4340000,3698000,3698000,3233000,2837000,27362000,20775000,22173000,2071000,10227000,13666000,5354000,-4096000,-2866000,-1608000
2016(gru16),79553000,5779000,7532000,6887000,6887000,5740000,5261000,30321000,25238000,26764000,2522000,9652000,16621000,9331000,-4436000,-2210000,2685000
2017(gru17),95364000,7734000,8657000,8717000,8717000,7173000,6655000,31740000,28924000,32197000,3014000,9071000,16382000,8050000,-3925000,-2832000,1293000
2018(gru18),109706000,6059000,7103000,6999000,6999000,5511000,5511000,33867000,30164000,35634000,12000,11487000,16898000,4979000,-3797000,-3237000,-2055000
2019(gru19),111203000,5741000,5365000,5352000,5352000,4298000,4300000,39277000,31925000,38596000,11000,14315000,18280000,9319000,-3994000,-3363000,1962000
2020(gru20),86180000,-7000,3974000,2922000,2922000,2825000,2755000,59212000,24615000,41596000,783000,18524000,22924000,7247000,-8496000,-3711000,-4960000
2021(gru21),131341000,9430000,13870000,13683000,13683000,11188000,11122000,68706000,38048000,51707000,871000,23883000,30293000,13296000,-9739000,-2006000,1551000
2022(gru22),277564000,37725000,41093000,40593000,40593000,33630000,33488000,153117000,119210000,135948000,1011000,41531000,93837000,30951000,1517000,-14569000,17899000
2023(gru23),372767000,39166000,28056000,30314000,30314000,20727000,20680000,170795000,93383000,152082000,1098000,41616000,69382000,41914000,-36409000,-12057000,-6552000
